,State Name,County,Congressional District,Zip Code,Energy Source,Agency,Year,Program Name,Total Number of Investments,Total Amount of Assistance,Description,State
0,Alabama,Baldwin,AL-01,36507,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,40736.0,,AL
1,Alabama,Baldwin,AL-01,36551,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,16509.0,,AL
2,Alabama,Baldwin,AL-01,36567,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,639.0,,AL
3,Alabama,Baldwin,AL-01,36580,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,16334.0,,AL
4,Alabama,Baldwin,AL-01,36580,Biomass,RBS,2021,Rural Energy for America Program (REAP),1,7000000.0,Landfill Gas,AL
5,Alabama,Clarke,AL-01,36451,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,99523.0,,AL
6,Alabama,Escambia,AL-01,36426,Biomass,FSA,2010,BCAP Matching Payments (NOFA),11,1247882.0,,AL
7,Alabama,Escambia,AL-01,36432,Biomass,FSA,2010,BCAP Matching Payments (NOFA),5,196195.0,,AL
8,Alabama,Mobile,AL-01,36525,Biomass,RBS,2011,Advanced Biofuel Payment Program,1,764.63,Biofuels,AL
9,Alabama,Mobile,AL-01,36572,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,26010.0,,AL
10,Alabama,Mobile,AL-01,36587,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,243045.0,,AL
11,Alabama,Mobile,AL-01,36602,Biomass,FSA,2010,BCAP Matching Payments (NOFA),11,414438.0,,AL
12,Alabama,Mobile,AL-01,36602,Biomass,RBS,2006,Rural Business Opportunity Grant Program (RBOG),1,45712.0,Ethanol Production,AL
13,Alabama,Mobile,AL-01,36606,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,387039.0,,AL
14,Alabama,Mobile,AL-01,36608,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,28257.0,,AL
15,Alabama,Monroe,AL-01,36425,Biomass,FSA,2010,BCAP Matching Payments (NOFA),14,1129608.0,,AL
16,Alabama,Monroe,AL-01,36445,Biomass,RBS,2010,Renewable Energy Systems (REAP),1,245952.0,Solid Fuel Production,AL
17,Alabama,Monroe,AL-01,36445,Biomass,RBS,2010,Rural Energy for America Program (REAP),1,103677.0,Solid Fuel Production,AL
18,Alabama,Monroe,AL-01,36460,Biomass,FSA,2010,BCAP Matching Payments (NOFA),30,1301512.0,,AL
19,Alabama,Monroe,AL-01,36471,Biomass,FSA,2010,BCAP Matching Payments (NOFA),9,588111.0,,AL
20,Alabama,Washington,AL-01,36518,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,449835.0,,AL
21,Alabama,Washington,AL-01,36558,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,51920.0,,AL
22,Alabama,Baldwin,AL-01,36535,Solar,RBS,2021,Rural Energy for America Program (REAP),1,29942.0,Solar Electric,AL
23,Alabama,Baldwin,AL-01,36562,Solar,RBS,2021,Energy Efficiency Improvement Grant (REAP),1,17825.0,Solar Electric,AL
24,Alabama,Monroe,AL-01,36502,Solar,RBS,2013,Rural Energy for America Program (REAP),1,10630.0,Solar Electric,AL
25,Alabama,Monroe,AL-01,36502,Solar,RBS,2016,Energy Efficiency Improvement Grant (REAP),1,7975.0,Solar Electric,AL
26,Alabama,Autauga,AL-02,36067,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,47216.0,,AL
27,Alabama,Barbour,AL-02,36016,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,38454.0,,AL
28,Alabama,Barbour,AL-02,36027,Biomass,FSA,2010,BCAP Matching Payments (NOFA),11,1988227.0,,AL
29,Alabama,Bullock,AL-02,36089,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,1927.0,,AL
30,Alabama,Butler,AL-02,36033,Biomass,FSA,2010,BCAP Matching Payments (NOFA),8,290551.0,,AL
31,Alabama,Butler,AL-02,36037,Biomass,FSA,2010,BCAP Matching Payments (NOFA),10,347467.0,,AL
32,Alabama,Coffee,AL-02,36323,Biomass,FSA,2010,BCAP Matching Payments (NOFA),5,88762.0,,AL
33,Alabama,Coffee,AL-02,36330,Biomass,FSA,2010,BCAP Matching Payments (NOFA),7,236959.0,,AL
34,Alabama,Conecuh,AL-02,36401,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,69081.0,,AL
35,Alabama,Covington,AL-02,36420,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,242043.0,,AL
36,Alabama,Covington,AL-02,36421,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,809347.0,,AL
37,Alabama,Covington,AL-02,36442,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,22955.0,,AL
38,Alabama,Crenshaw,AL-02,36009,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,929213.0,,AL
39,Alabama,Crenshaw,AL-02,36035,Biomass,RBS,2015,Energy Efficiency Improvement Grant (REAP),1,10321.0,Pellets,AL
40,Alabama,Dale,AL-02,36360,Biomass,FSA,2010,BCAP Matching Payments (NOFA),5,504246.0,,AL
41,Alabama,Elmore,AL-02,36078,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,90225.0,,AL
42,Alabama,Elmore,AL-02,36092,Biomass,FSA,2010,BCAP Matching Payments (NOFA),23,1056204.0,,AL
43,Alabama,Geneva,AL-02,36375,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,3618.0,,AL
44,Alabama,Henry,AL-02,36310,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,300828.0,,AL
45,Alabama,Henry,AL-02,36310,Biomass,RBS,2015,Advanced Biofuel Payment Program,1,1102.78,Biofuels,AL
46,Alabama,Henry,AL-02,36310,Biomass,RBS,2016,Advanced Biofuel Payment Program,1,894.96,Biofuels,AL
47,Alabama,Henry,AL-02,36310,Biomass,RBS,2017,Advanced Biofuel Payment Program,1,1095.35,Biofuels,AL
48,Alabama,Henry,AL-02,36310,Biomass,RBS,2018,Advanced Biofuel Payment Program,1,1004.13,Biofuels,AL
49,Alabama,Henry,AL-02,36373,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,93150.0,,AL
50,Alabama,Houston,AL-02,36319,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,237318.0,,AL
51,Alabama,Montgomery,AL-02,36046,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,105543.0,,AL
52,Alabama,Montgomery,AL-02,36069,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,64778.0,,AL
53,Alabama,Montgomery,AL-02,36106,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,49218.0,,AL
54,Alabama,Montgomery,AL-02,36109,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,27777.0,,AL
55,Alabama,Montgomery,AL-02,36111,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,31200.0,,AL
56,Alabama,Montgomery,AL-02,36117,Biomass,FSA,2010,BCAP Matching Payments (NOFA),5,197283.0,,AL
57,Alabama,Pike,AL-02,36079,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,74332.0,,AL
58,Alabama,Pike,AL-02,36081,Biomass,FSA,2010,BCAP Matching Payments (NOFA),11,526770.0,,AL
59,Alabama,Pike,AL-02,36081,Biomass,RBS,2010,Rural Energy for America Program (REAP),1,115309.0,Ee Industrial,AL
60,Alabama,Calhoun,AL-03,36250,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,10308.0,,AL
61,Alabama,Chambers,AL-03,36862,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,20235.0,,AL
62,Alabama,Cherokee,AL-03,35959,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,15533.0,,AL
63,Alabama,Cherokee,AL-03,35960,Biomass,RBS,2012,Energy Efficiency Improvement Grant (REAP),1,18222.0,Ee Buildings,AL
64,Alabama,Cherokee,AL-03,36272,Biomass,RBS,2011,Energy Efficiency Improvement Grant (REAP),1,8197.02,Pellets,AL
65,Alabama,Cleburne,AL-03,36264,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,16484.0,,AL
66,Alabama,Lee,AL-03,36830,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,131472.0,,AL
67,Alabama,Lee,AL-03,36849,Biomass,NIFA,2011,AFRI Grant,1,200000.0,Sustainable Bioenergy:  Sustainable Bioenergy Research,AL
68,Alabama,Lee,AL-03,36849,Biomass,NIFA,2012,AFRI Grant,1,800000.0,Sustainable Bioenergy:  Sustainable Bioenergy Research,AL
69,Alabama,Lee,AL-03,36849,Biomass,NIFA,2017,AFRI Grant,1,481539.0,Bioprocessing and Bioengineering,AL
70,Alabama,Lee,AL-03,36849,Biomass,NIFA,2017,AFRI Grant,1,499886.0,Socioeconomic Implications and Public Policy Challenges of Bioenergy and Bioproducts Market Development and Expansion,AL
71,Alabama,Lee,AL-03,36849,Biomass,NIFA,2018,AFRI Grant,1,489911.0,Bioprocessing and Bioengineering,AL
72,Alabama,Lee,AL-03,36874,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,339509.0,,AL
73,Alabama,Randolph,AL-03,36276,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,42621.0,,AL
74,Alabama,Russell,AL-03,36867,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,142300.0,,AL
75,Alabama,St. Clair,AL-03,35125,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,34167.0,,AL
76,Alabama,Talladega,AL-03,35096,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,67782.0,,AL
77,Alabama,Tallapoosa,AL-03,35010,Biomass,FSA,2010,BCAP Matching Payments (NOFA),5,223947.0,,AL
78,Alabama,Tallapoosa,AL-03,36256,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,13438.0,,AL
79,Alabama,Tallapoosa,AL-03,36850,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,7504.0,,AL
80,Alabama,Clay,AL-03,36266,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,10933.0,Solar Electric,AL
81,Alabama,Colbert,AL-04,35646,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,53867.0,,AL
82,Alabama,Colbert,AL-04,35674,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,89116.0,,AL
83,Alabama,Cullman,AL-04,35055,Biomass,FSA,2010,BCAP Matching Payments (NOFA),21,98886.0,,AL
84,Alabama,DeKalb,AL-04,35962,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,491114.0,,AL
85,Alabama,DeKalb,AL-04,35962,Biomass,RBS,2013,Advanced Biofuel Payment Program,1,7275.54,Biofuels,AL
86,Alabama,DeKalb,AL-04,35962,Biomass,RBS,2014,Advanced Biofuel Payment Program,1,8329.77,Biofuels,AL
87,Alabama,DeKalb,AL-04,35962,Biomass,RBS,2015,Advanced Biofuel Payment Program,1,7579.64,Biofuels,AL
88,Alabama,DeKalb,AL-04,35962,Biomass,RBS,2016,Advanced Biofuel Payment Program,1,3697.84,Biofuels,AL
89,Alabama,DeKalb,AL-04,35962,Biomass,RBS,2017,Advanced Biofuel Payment Program,1,187.69,Biofuels,AL
90,Alabama,Etowah,AL-04,35954,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,27072.0,,AL
91,Alabama,Franklin,AL-04,35571,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,8412.0,,AL
